"Original passenger flow details Start time:2026-01-07 00:00:00 Ending Time:2026-01-07 23:59:59","","","","","","","","","","","","","","","","","","","","","","","",""
"Line","Plate","Bus ID","Driver","Direction","Station Number (Required)","Station Name","Passenger flow time","Time of Date Recieved By Platform","Number Of Boarding Passengers(Person)","Number Of Alighting Passengers(Person)","Passengers Carried(Person)","Full load rate (%)","Door 1","","Door 2","","Door 3","","Door 4","","Door 5","","Door 6",""
"","","","","","","","","","","","","","Boarding","Alighting","Boarding","Alighting","Boarding","Alighting","Boarding","Alighting","Boarding","Alighting","Boarding","Alighting"
"","00C4006AB0","123456","","Up","0","-30.080165，-51.02562","2026-01-07 05:42:23","2026-01-07 05:42:24","1","0","96","192","1","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.080133，-51.025498","2026-01-07 05:42:24","2026-01-07 05:42:23","1","0","96","192","1","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.080185，-51.025678","2026-01-07 05:42:25","2026-01-07 05:42:25","0","0","96","192","-","-","0","0","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.122616，-51.085183","2026-01-07 06:22:27","2026-01-07 06:22:27","3","0","99","198","3","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.12488，-51.084698","2026-01-07 06:23:09","2026-01-07 06:23:09","2","0","101","202","2","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.125503，-51.084008","2026-01-07 06:23:57","2026-01-07 06:23:56","5","0","106","212","5","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.124281，-51.083846","2026-01-07 06:24:47","2026-01-07 06:24:46","1","0","107","214","1","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.120486，-51.083321","2026-01-07 06:26:09","2026-01-07 06:26:08","3","0","110","220","3","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.11555，-51.080593","2026-01-07 06:27:28","2026-01-07 06:27:28","2","0","112","224","2","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.114166，-51.078833","2026-01-07 06:28:16","2026-01-07 06:28:16","4","0","116","232","4","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.114015，-51.077139","2026-01-07 06:29:16","2026-01-07 06:29:15","2","0","118","236","2","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.115015，-51.07511","2026-01-07 06:30:55","2026-01-07 06:30:55","10","0","128","256","10","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.116716，-51.075646","2026-01-07 06:32:01","2026-01-07 06:32:00","6","0","134","268","6","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.119951，-51.075526","2026-01-07 06:33:11","2026-01-07 06:33:11","3","0","137","274","3","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.121315，-51.07425","2026-01-07 06:34:28","2026-01-07 06:34:28","7","0","144","288","7","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.118035，-51.074681","2026-01-07 06:35:36","2026-01-07 06:35:36","3","0","147","294","3","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.116016，-51.073905","2026-01-07 06:38:38","2026-01-07 06:38:38","1","1","147","294","1","1","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.116016，-51.073905","2026-01-07 06:38:40","2026-01-07 06:38:39","2","1","148","296","-","-","2","1","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.113783，-51.074356","2026-01-07 06:39:33","2026-01-07 06:39:33","1","0","149","298","1","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.11234，-51.075513","2026-01-07 06:40:16","2026-01-07 06:40:16","1","0","150","300","1","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.111128，-51.076023","2026-01-07 06:40:53","2026-01-07 06:40:52","2","0","152","304","2","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.10362，-51.077583","2026-01-07 06:42:22","2026-01-07 06:42:22","3","0","155","310","3","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.100693，-51.07431","2026-01-07 06:44:11","2026-01-07 06:44:11","1","0","156","312","1","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.101501，-51.072695","2026-01-07 06:44:41","2026-01-07 06:44:41","1","0","157","314","1","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.103795，-51.068991","2026-01-07 06:45:40","2026-01-07 06:45:40","1","0","158","316","1","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.102516，-51.068858","2026-01-07 06:46:34","2026-01-07 06:46:33","3","0","161","322","3","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.102226，-51.070948","2026-01-07 06:47:23","2026-01-07 06:47:23","2","0","163","326","2","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.09563，-51.079788","2026-01-07 06:50:29","2026-01-07 06:50:29","1","1","163","326","1","1","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.09563，-51.079788","2026-01-07 06:50:30","2026-01-07 06:50:30","0","3","160","320","-","-","0","3","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.09563，-51.079788","2026-01-07 06:51:08","2026-01-07 06:51:08","0","1","159","318","0","1","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.094485，-51.079701","2026-01-07 06:52:09","2026-01-07 06:52:09","0","4","155","310","-","-","0","4","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.094485，-51.079701","2026-01-07 06:52:23","2026-01-07 06:52:23","5","0","160","320","5","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.091833，-51.08362","2026-01-07 06:53:32","2026-01-07 06:53:32","2","0","162","324","2","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.089921，-51.088633","2026-01-07 06:55:04","2026-01-07 06:55:05","2","0","164","328","2","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.088306，-51.091168","2026-01-07 06:55:47","2026-01-07 06:55:47","0","1","163","326","-","-","0","1","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.082015，-51.097395","2026-01-07 06:57:06","2026-01-07 06:57:06","0","1","162","324","-","-","0","1","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.080853，-51.101628","2026-01-07 06:58:53","2026-01-07 06:58:53","3","0","165","330","3","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.080191，-51.103486","2026-01-07 06:59:50","2026-01-07 06:59:50","1","0","166","332","1","0","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.078348，-51.107005","2026-01-07 07:00:45","2026-01-07 07:00:44","1","1","166","332","1","1","-","-","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.07829，-51.107211","2026-01-07 07:00:46","2026-01-07 07:00:46","0","0","166","332","-","-","0","0","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.078786，-51.11667","2026-01-07 07:03:42","2026-01-07 07:03:42","0","5","161","322","-","-","0","5","-","-","-","-","-","-","-","-"
"","00C4006AB0","123456","","Up","0","-30.078786，-51.11667","2026-01-07 07:04:20","2026-01-07 07:04:20","0","1","160","320","-","-","0","1","-","-","-","-","-","-","-","-"
